paraPerHost;freq
0;24
1;4
2;5
3;1
4;2
5;6
6;4
7;5
8;3
9;5
10;5
11;3
12;3
13;1
14;4
15;5
16;3
17;0
18;1
19;3
20;0
21;1
22;0
23;0
24;1
25;1
26;1
27;1
28;2
29;0
30;0
31;0
32;1
33;0
34;0
35;0
36;0
37;1
38;0
39;0
40;0
41;0
42;0
43;1
